ID,设备号,Timestamp,Lon,Lat,Direction,Speed
5f40f6935bd7ea587f7a8472,868035047202079,2020-08-14 23:28:35,119.674019,29.809898,117.000,9.000
5f4187725bd7ea6477009a5f,868035047226070,2020-08-12 11:05:24,119.692612,29.784214,304.000,0.000
5f42ddc55bd7ea76d255b979,868035047201391,2020-08-15 04:41:48,119.671646,29.788279,212.000,17.000
5f43ae005bd7ea2bb81af682,868035047201428,2020-08-14 08:45:25,119.672989,29.807543,143.000,19.000
5f40e8425bd7ea6af40919fc,868035047200248,2020-08-14 08:20:29,119.706390,29.813398,316.000,10.000
5f41043a5bd7ea462c3616bd,868035047202302,2020-08-14 07:46:18,119.673180,29.812992,120.000,18.000
5f438b365bd7ea6fbb6d2f4a,868035047201549,2020-08-15 00:23:00,119.687965,29.801374,62.000,12.000
5f4400675bd7ea371e736da0,868035042368651,2020-08-15 04:45:56,119.687004,29.794729,128.000,24.000
5f4491aa5bd7ea21c91952de,868035042367182,2020-08-14 08:37:40,119.676620,29.775888,220.000,24.000
5f366ef85bd7ea20e07b14df,868035047198357,2020-08-12 10:59:30,119.681992,29.796440,34.000,0.000
5f4182f65bd7ea3cfd1fb002,868035047013990,2020-08-12 11:04:53,119.670998,29.805124,46.000,0.000
5f42ddc65bd7ea76d255b97f,868035047227571,2020-08-15 04:41:51,119.704689,29.814768,71.000,23.000
5f4491a55bd7ea21bf661235,866551032797560,2020-08-16 00:54:06,119.676994,29.788507,324.000,17.000
5f46c2085bd7ea6e166d2eec,868035047202069,2020-08-15 01:16:10,119.701279,29.809668,183.000,13.000
5f40155d5bd7ea26187740f1,868035047013990,2020-08-12 10:57:24,119.670670,29.803976,29.000,24.000
5f41acfc5bd7ea0e1679c7fa,868035047226064,2020-08-12 10:41:50,119.714600,29.812628,176.000,28.000
5f4491a25bd7ea21b14b7e61,868035047201549,2020-08-15 00:45:41,119.716949,29.815178,304.000,14.000
5f45545f5bd7ea0a5d038893,868035047202424,2020-08-12 11:11:42,119.664764,29.795603,226.000,0.000
5f41ac175bd7ea67ae7a8013,868035047200218,2020-08-14 08:25:14,119.691521,29.794918,326.000,0.000
5f42aa135bd7ea643e66e04e,868035047201549,2020-08-14 23:54:08,119.672050,29.785976,106.000,26.000
5f42d9255bd7ea53cc224e6a,868035047201549,2020-08-15 00:03:33,119.691536,29.773651,51.000,18.000
5f46ee625bd7ea3a7233b6e1,868035042255395,2020-08-14 08:26:06,119.680443,29.794960,225.000,0.000
5f416b575bd7ea02694c60e8,868035047202305,2020-08-14 07:39:31,119.658699,29.807545,170.000,20.000
5f41dc035bd7ea0cc37b9e04,868035047201549,2020-08-14 23:40:57,119.675789,29.785685,305.000,0.000
5f4400625bd7ea37221fcb39,868035047200307,2020-08-15 01:15:46,119.699936,29.808838,62.000,0.000
5f4522fb5bd7ea39b27d6a42,868035047201391,2020-08-15 04:51:34,119.673660,29.787287,345.000,10.000
5f467dcd5bd7ea0b636f72df,868035047227807,2020-08-15 01:33:25,119.689583,29.795240,287.000,9.000
